event_date,year,type,total_events
2017-01-29,2017,IssuesEvent,24823
2017-01-29,2017,MemberEvent,2691
2017-01-29,2017,PublicEvent,752
2017-01-29,2017,PullRequestEvent,33182
2017-01-29,2017,PullRequestReviewCommentEvent,8456
2017-01-29,2017,PushEvent,359186
2017-01-29,2017,ReleaseEvent,2742
2017-01-29,2017,WatchEvent,48217
2017-01-30,2017,CommitCommentEvent,2916
2017-01-30,2017,CreateEvent,146780
2017-01-30,2017,DeleteEvent,24968
2017-01-30,2017,GollumEvent,6768
2017-01-30,2017,IssueCommentEvent,89010
2017-01-30,2017,IssuesEvent,43040
2017-01-30,2017,MemberEvent,6036
2017-01-30,2017,PublicEvent,1199
2017-01-30,2017,PullRequestEvent,61823
2017-01-30,2017,PullRequestReviewCommentEvent,23227
2017-01-30,2017,PushEvent,504713
2017-01-30,2017,ReleaseEvent,3969
2017-01-30,2017,WatchEvent,68585
2017-01-31,2017,CommitCommentEvent,2864
2017-01-31,2017,CreateEvent,146829
2017-01-31,2017,DeleteEvent,26986
2017-01-31,2017,GollumEvent,7463
2017-01-31,2017,IssueCommentEvent,94135
2017-01-31,2017,IssuesEvent,43114
2017-01-31,2017,MemberEvent,6229
2017-01-31,2017,PublicEvent,1306
2017-01-31,2017,PullRequestEvent,66419
2017-01-31,2017,PullRequestReviewCommentEvent,24894
2017-01-31,2017,PushEvent,530349
2017-01-31,2017,ReleaseEvent,4174
2017-01-31,2017,WatchEvent,72124
2017-02-01,2017,CommitCommentEvent,2747
2017-02-01,2017,CreateEvent,155516
2017-02-01,2017,DeleteEvent,26318
2017-02-01,2017,GollumEvent,8148
2017-02-01,2017,IssueCommentEvent,92969
2017-02-01,2017,IssuesEvent,46303
2017-02-01,2017,MemberEvent,6796
2017-02-01,2017,PublicEvent,1255
2017-02-01,2017,PullRequestEvent,66062
2017-02-01,2017,PullRequestReviewCommentEvent,24515
2017-02-01,2017,PushEvent,525349
2017-02-01,2017,ReleaseEvent,4082
2017-02-01,2017,WatchEvent,74320
2017-02-02,2017,CommitCommentEvent,2879
2017-02-02,2017,CreateEvent,159810
2017-02-02,2017,DeleteEvent,27012
2017-02-02,2017,GollumEvent,8669
2017-02-02,2017,IssueCommentEvent,93985
2017-02-02,2017,IssuesEvent,46871
2017-02-02,2017,MemberEvent,6347
2017-02-02,2017,PublicEvent,1221
2017-02-02,2017,PullRequestEvent,69317
2017-02-02,2017,PullRequestReviewCommentEvent,25120
2017-02-02,2017,PushEvent,542562
2017-02-02,2017,ReleaseEvent,4217
2017-02-02,2017,WatchEvent,81711
2017-02-03,2017,CommitCommentEvent,2723
2017-02-03,2017,CreateEvent,150433
2017-02-03,2017,DeleteEvent,26365
2017-02-03,2017,GollumEvent,8193
2017-02-03,2017,IssueCommentEvent,88094
2017-02-03,2017,IssuesEvent,43892
2017-02-03,2017,MemberEvent,6628
2017-02-03,2017,PublicEvent,1433
2017-02-03,2017,PullRequestEvent,65253
2017-02-03,2017,PullRequestReviewCommentEvent,23036
2017-02-03,2017,PushEvent,520247
2017-02-03,2017,ReleaseEvent,3775
2017-02-03,2017,WatchEvent,80723
2017-02-04,2017,CommitCommentEvent,1675
2017-02-04,2017,CreateEvent,115066
2017-02-04,2017,DeleteEvent,17468
2017-02-04,2017,GollumEvent,5034
2017-02-04,2017,IssueCommentEvent,49059
2017-02-04,2017,IssuesEvent,26166
2017-02-04,2017,MemberEvent,4008
2017-02-04,2017,PublicEvent,804
